timestamps,TP9,AF7,AF8,TP10,Right AUX
1688548422.608,-39.551,-9.766,-17.090,-44.922,0.000
1688548422.611,-43.945,-1.953,-28.809,-39.062,0.000
1688548422.615,-30.762,7.812,-28.320,-41.992,0.000
1688548422.619,-32.227,8.301,-10.254,-55.176,0.000
1688548422.623,-34.668,0.000,-6.836,-51.758,0.000
1688548422.627,-27.344,3.418,-11.230,-41.992,0.000
1688548422.631,-22.949,11.230,-1.465,-30.273,0.000
1688548422.635,-25.879,11.230,10.254,-37.109,0.000
1688548422.639,-40.527,3.906,5.859,-46.875,0.000
1688548422.643,-43.945,1.465,-3.906,-46.875,0.000
1688548422.647,-37.598,9.766,7.812,-46.875,0.000
1688548422.650,-34.668,16.113,14.648,-38.574,0.000
1688548422.654,-35.156,7.324,-1.465,-40.039,0.000
1688548422.658,-36.133,5.371,-6.836,-44.922,0.000
1688548422.662,-37.109,15.137,-1.465,-40.527,0.000
1688548422.666,-37.598,18.555,-10.254,-31.250,0.000
1688548422.670,-28.809,16.113,-19.043,-32.715,0.000
1688548422.674,-27.344,10.742,-17.578,-37.109,0.000
1688548422.678,-35.645,10.742,-3.418,-34.668,0.000
1688548422.682,-34.668,8.789,-1.953,-41.504,0.000
1688548422.686,-32.715,11.230,-15.137,-39.062,0.000
1688548422.690,-32.227,14.160,-6.348,-20.020,0.000
1688548422.693,-26.855,5.859,9.277,-22.949,0.000
1688548422.697,-26.367,-8.789,5.859,-40.527,0.000
1688548422.701,-26.855,-11.719,-1.465,-41.992,0.000
1688548422.705,-26.855,-7.812,-9.277,-37.598,0.000
1688548422.709,-29.297,-8.301,-17.578,-42.480,0.000
1688548422.713,-28.320,-12.207,-20.996,-40.039,0.000
1688548422.717,-30.273,-19.531,-18.066,-42.480,0.000
1688548422.721,-46.875,-25.879,-21.484,-54.199,0.000
1688548422.725,-62.012,-30.273,-22.461,-54.199,0.000
1688548422.729,-45.410,-32.227,-17.578,-46.875,0.000
1688548422.733,-39.062,-42.969,-20.508,-41.504,0.000
1688548422.736,-51.758,-53.711,-18.066,-49.805,0.000
1688548422.740,-49.805,-60.059,-22.949,-61.035,0.000
1688548422.744,-48.828,-62.500,-33.691,-63.965,0.000
1688548422.748,-53.711,-62.988,-34.180,-69.824,0.000
1688548422.752,-51.758,-62.988,-39.062,-69.336,0.000
1688548422.756,-59.082,-62.500,-41.992,-72.754,0.000
1688548422.760,-73.242,-60.547,-45.410,-84.473,0.000
1688548422.764,-66.406,-59.082,-38.574,-85.449,0.000
1688548422.768,-63.965,-62.012,-32.227,-81.543,0.000
1688548422.772,-62.500,-57.129,-25.391,-72.266,0.000
1688548422.776,-58.105,-46.387,-19.531,-64.941,0.000
1688548422.779,-61.035,-45.410,-11.719,-63.477,0.000
1688548422.783,-58.105,-45.898,15.137,-66.406,0.000
1688548422.787,-51.270,-43.945,18.555,-63.965,0.000
1688548422.791,-53.711,-54.199,-4.883,-61.035,0.000
1688548422.795,-52.246,-59.082,-14.160,-50.781,0.000
1688548422.799,-47.363,-58.594,-11.719,-59.082,0.000
1688548422.803,-39.062,-62.988,-10.254,-62.500,0.000
1688548422.807,-37.109,-70.801,-4.883,-54.688,0.000
1688548422.811,-35.156,-74.707,-3.906,-52.734,0.000
1688548422.815,-32.715,-72.754,-0.488,-50.293,0.000
1688548422.818,-46.875,-79.590,-0.488,-58.594,0.000
